day,temperature,humidity,wind_speed,weather
14/04/2024,43.1,88.9,15.1,Rainy
03/12/2023,27.6,77.8,10.7,Cloudy
13/04/2024,43.4,73.1,21.6,Rainy
01/06/2024,36.1,68.1,24.3,Rainy
26/01/2024,28.1,60.3,24.8,Sunny
23/02/2024,41.1,43.0,12.8,Sunny
23/07/2023,43.2,87.7,4.7,Sunny
22/04/2024,27.5,83.6,8.4,Cloudy
12/10/2023,32.3,34.1,18.3,Sunny
20/11/2023,26.2,35.8,25.1,Rainy
12/02/2024,25.6,40.7,15.1,Sunny
24/02/2024,35.8,48.9,15.3,Rainy
09/02/2024,36.3,49.6,5.9,Sunny
22/04/2024,31.4,61.7,13.8,Rainy
03/10/2023,25.2,22.2,22.0,Rainy
03/07/2023,36.2,30.7,13.3,Sunny
18/02/2024,30.9,63.1,19.3,Sunny
04/08/2023,42.3,65.4,15.6,Rainy
31/12/2023,29.1,56.2,15.6,Sunny
07/02/2024,32.5,52.5,3.0,Rainy
30/03/2024,29.4,61.5,8.6,Rainy
18/06/2023,41.2,71.0,10.4,Cloudy
13/02/2024,36.9,78.0,7.8,Rainy
30/01/2024,30.8,73.7,11.5,Rainy
26/05/2024,27.5,22.7,22.8,Sunny
31/03/2024,25.7,42.6,15.3,Sunny
10/12/2023,35.8,47.3,29.3,Cloudy
09/12/2023,36.8,57.4,11.8,Rainy
30/12/2023,37.3,22.1,17.4,Cloudy
10/11/2023,43.1,23.5,24.8,Sunny
30/08/2023,25.1,47.9,12.8,Sunny
07/10/2023,38.8,75.9,6.4,Rainy
10/03/2024,34.9,86.1,12.6,Sunny
22/05/2024,30.7,77.4,9.8,Rainy
11/08/2023,32.6,46.1,26.0,Sunny
25/03/2024,30.4,23.4,9.3,Rainy
27/08/2023,33.4,63.1,7.4,Rainy
13/01/2024,25.7,65.6,24.6,Rainy
08/12/2023,44.7,50.7,3.1,Cloudy
14/02/2024,35.8,21.3,26.4,Sunny
26/08/2023,30.2,21.7,9.1,Sunny
07/07/2023,25.8,50.8,0.7,Rainy
14/07/2023,40.2,49.9,13.9,Cloudy
29/08/2023,27.4,55.5,18.7,Sunny
02/07/2023,42.1,60.3,21.6,Rainy
02/01/2024,31.3,71.1,15.3,Rainy
13/10/2023,44.2,26.4,3.6,Sunny
01/07/2023,36.0,24.4,17.4,Sunny
04/09/2023,40.7,47.2,14.1,Rainy
22/01/2024,44.6,55.0,27.1,Sunny
08/02/2024,34.9,71.7,0.7,Rainy
13/09/2023,35.6,73.1,14.0,Sunny
03/05/2024,36.7,77.4,15.0,Rainy
21/10/2023,25.2,70.5,11.4,Rainy
15/11/2023,27.3,62.2,11.5,Cloudy
10/08/2023,35.1,27.7,6.7,Rainy
08/07/2023,42.8,57.6,29.8,Sunny
01/07/2023,29.3,85.9,7.5,Rainy
20/10/2023,34.7,73.1,26.1,Rainy
04/09/2023,40.8,28.6,7.8,Sunny
07/09/2023,29.7,77.8,14.0,Rainy
30/06/2023,39.9,29.6,1.1,Rainy
22/04/2024,28.7,35.0,2.1,Cloudy
03/01/2024,41.4,76.3,7.7,Rainy
11/10/2023,39.3,44.4,21.3,Cloudy
17/12/2023,34.5,78.8,3.8,Rainy
11/10/2023,30.6,54.9,3.2,Sunny
22/08/2023,42.6,62.6,18.6,Rainy
31/01/2024,37.8,33.4,9.9,Sunny
06/11/2023,31.3,68.5,22.3,Cloudy
09/04/2024,32.0,46.2,12.9,Sunny
18/05/2024,42.4,35.3,23.8,Rainy
05/10/2023,43.7,27.3,2.2,Cloudy
24/02/2024,34.3,74.4,26.7,Rainy
28/01/2024,32.4,48.9,22.4,Rainy
05/05/2024,40.5,24.0,28.4,Sunny
28/09/2023,33.9,77.4,27.6,Rainy
02/04/2024,34.1,36.6,18.8,Cloudy
25/04/2024,34.4,72.1,19.0,Rainy
27/08/2023,29.5,73.6,21.4,Sunny
06/12/2023,34.5,70.7,2.4,Rainy
30/11/2023,29.1,27.1,23.3,Sunny
11/07/2023,28.0,64.7,6.5,Rainy
19/05/2024,33.1,26.2,17.0,Sunny
30/06/2023,27.6,89.8,1.3,Rainy
29/07/2023,35.7,23.1,24.9,Sunny
25/04/2024,27.6,47.8,13.0,Cloudy
18/04/2024,27.7,80.1,18.5,Rainy
17/08/2023,41.9,89.5,15.6,Cloudy
19/01/2024,36.3,80.0,11.1,Rainy
04/12/2023,44.4,24.5,29.9,Sunny
18/05/2024,35.6,31.0,26.2,Sunny
26/03/2024,37.6,89.9,16.2,Rainy
25/02/2024,26.1,33.9,17.4,Cloudy
01/05/2024,32.8,48.4,0.1,Sunny
14/05/2024,40.0,58.5,9.1,Sunny
20/09/2023,32.4,70.5,26.3,Rainy
01/06/2024,33.7,61.0,7.0,Rainy
07/03/2024,29.1,45.6,10.6,Cloudy
01/08/2023,32.0,65.0,28.6,Rainy
21/09/2023,37.2,29.8,9.7,Cloudy
21/09/2023,31.7,79.5,2.3,Rainy
16/01/2024,30.8,27.9,12.0,Sunny
27/05/2024,39.6,45.5,4.3,Cloudy
09/09/2023,37.0,43.0,0.9,Cloudy
12/11/2023,35.7,58.9,11.0,Sunny
11/09/2023,38.2,32.7,5.6,Sunny
28/06/2023,29.8,25.4,4.3,Sunny
13/04/2024,27.7,60.5,18.8,Rainy
20/06/2023,32.3,87.5,12.6,Cloudy
25/06/2023,30.3,79.4,8.5,Cloudy
25/11/2023,29.8,56.0,7.0,Rainy
17/03/2024,26.3,37.6,28.5,Sunny
31/05/2024,31.6,81.1,26.8,Rainy
26/10/2023,38.0,46.5,0.7,Sunny
26/05/2024,32.0,58.5,17.0,Sunny
18/04/2024,31.4,79.0,21.4,Sunny
28/05/2024,33.5,85.1,4.7,Sunny
24/11/2023,29.8,31.0,3.0,Sunny
07/02/2024,25.6,46.8,4.3,Sunny
18/12/2023,43.2,39.5,18.2,Rainy
20/12/2023,30.5,71.0,25.6,Sunny
24/06/2023,35.6,68.5,6.1,Rainy
26/03/2024,32.5,37.2,18.2,Sunny
11/05/2024,36.7,59.6,4.5,Rainy
07/08/2023,30.3,62.9,5.3,Sunny
11/02/2024,33.1,34.8,28.0,Rainy
28/04/2024,28.5,71.3,24.5,Sunny
06/03/2024,27.9,69.4,12.6,Sunny
28/07/2023,28.6,69.7,23.3,Rainy
19/07/2023,33.9,36.8,8.1,Rainy
23/05/2024,39.5,37.2,10.6,Sunny
19/04/2024,44.6,30.3,22.9,Sunny
29/01/2024,35.7,84.7,2.0,Rainy
17/03/2024,41.3,48.4,4.4,Rainy
02/12/2023,37.6,45.9,7.4,Rainy
12/03/2024,36.1,40.6,15.6,Sunny
19/06/2023,39.0,55.8,16.1,Cloudy
30/06/2023,28.7,76.3,21.8,Sunny
30/07/2023,28.0,66.1,1.6,Rainy
24/04/2024,25.9,81.2,9.3,Sunny
25/07/2023,31.1,76.1,28.5,Rainy
16/11/2023,36.3,47.2,25.6,Sunny
11/12/2023,44.8,43.0,29.0,Rainy
06/05/2024,29.9,75.7,15.1,Rainy
22/05/2024,28.0,40.3,6.4,Rainy
07/02/2024,31.6,63.6,8.6,Sunny
14/05/2024,26.4,26.6,21.7,Sunny
05/02/2024,30.7,58.2,11.5,Sunny
18/01/2024,43.1,69.3,0.7,Rainy
02/01/2024,30.2,82.7,28.3,Rainy
01/02/2024,40.6,84.6,24.4,Rainy
17/03/2024,27.4,64.3,11.7,Rainy
16/03/2024,39.4,78.2,28.6,Sunny
16/11/2023,26.9,71.2,28.1,Sunny
29/08/2023,43.1,44.0,12.8,Sunny
30/12/2023,29.0,20.4,0.7,Cloudy
26/03/2024,26.3,75.4,13.5,Cloudy
15/05/2024,33.2,86.3,21.0,Cloudy
28/02/2024,35.4,79.0,11.3,Rainy
17/06/2023,40.8,21.1,5.1,Cloudy
06/12/2023,30.4,50.2,2.6,Sunny
20/10/2023,27.5,61.9,4.3,Rainy
13/01/2024,31.8,22.1,9.1,Rainy
23/09/2023,40.0,24.1,16.5,Sunny
18/02/2024,33.5,29.1,22.4,Rainy
22/03/2024,31.5,49.0,2.5,Rainy
23/10/2023,31.4,44.3,10.8,Cloudy
27/12/2023,32.9,57.4,25.1,Sunny
13/04/2024,41.3,86.6,20.6,Cloudy
11/03/2024,27.2,64.5,25.2,Sunny
24/09/2023,40.1,41.2,29.3,Sunny
28/11/2023,41.6,60.2,13.7,Cloudy
20/12/2023,42.6,87.6,23.5,Cloudy
27/11/2023,37.7,39.6,1.0,Sunny
15/03/2024,44.6,34.7,15.4,Rainy
10/12/2023,33.2,69.9,16.0,Cloudy
14/04/2024,43.0,46.2,17.4,Sunny
15/11/2023,34.4,27.2,14.1,Sunny
15/08/2023,42.8,36.7,29.3,Rainy
29/08/2023,39.8,41.0,23.3,Rainy
21/04/2024,29.3,42.6,15.3,Rainy
02/02/2024,25.8,67.5,23.4,Sunny
27/03/2024,38.3,62.3,26.8,Rainy
03/11/2023,37.9,65.0,3.2,Sunny
16/03/2024,32.2,30.9,12.2,Sunny
02/11/2023,40.3,20.4,12.4,Sunny
21/08/2023,36.9,40.7,26.4,Sunny
29/10/2023,35.9,72.1,9.2,Cloudy
30/11/2023,36.7,80.9,26.7,Rainy
07/11/2023,28.0,42.1,17.0,Cloudy
19/04/2024,31.5,89.0,27.5,Rainy
04/02/2024,41.7,79.1,28.6,Rainy
12/11/2023,26.1,84.7,19.0,Sunny
05/10/2023,30.6,22.0,3.5,Sunny
08/01/2024,43.4,65.4,13.0,Rainy
08/02/2024,41.8,78.7,26.0,Cloudy
23/04/2024,40.0,34.3,23.1,Cloudy
12/08/2023,26.5,56.6,15.9,Rainy
24/09/2023,35.5,86.2,12.7,Rainy
22/09/2023,44.6,56.3,15.3,Sunny
24/10/2023,43.8,48.5,19.5,Rainy
07/09/2023,42.1,87.1,3.9,Cloudy
09/04/2024,33.0,48.3,0.1,Rainy
06/06/2024,40.7,54.1,20.2,Cloudy
21/02/2024,28.9,52.5,19.8,Cloudy
09/10/2023,29.5,22.7,13.1,Sunny
12/05/2024,29.2,80.0,28.4,Cloudy
28/08/2023,37.8,46.4,26.1,Sunny
25/06/2023,30.4,21.7,26.4,Sunny
10/09/2023,42.5,70.5,0.8,Rainy
29/12/2023,32.9,87.8,10.5,Rainy
22/10/2023,33.2,48.4,12.5,Sunny
04/08/2023,37.7,53.3,27.0,Rainy
01/11/2023,44.9,46.4,7.3,Rainy
09/05/2024,37.9,30.6,15.3,Rainy
21/02/2024,39.7,54.0,7.7,Sunny
20/11/2023,41.9,72.9,25.6,Rainy
13/06/2023,26.7,87.5,10.9,Cloudy
11/05/2024,37.9,69.8,19.8,Cloudy
02/10/2023,35.3,76.1,8.6,Sunny
03/12/2023,35.7,73.2,0.9,Rainy
02/07/2023,43.5,56.8,12.8,Sunny
28/11/2023,33.2,81.0,20.8,Sunny
29/05/2024,26.2,42.1,14.8,Sunny
21/11/2023,35.8,66.7,12.4,Sunny
12/07/2023,31.8,85.6,12.4,Rainy
27/06/2023,40.5,75.1,15.3,Rainy
21/01/2024,41.9,87.5,25.0,Sunny
11/12/2023,31.0,89.3,5.8,Cloudy
12/06/2023,29.5,57.1,15.9,Rainy
02/01/2024,27.1,64.1,2.9,Cloudy
08/07/2023,41.4,30.1,12.5,Sunny
21/08/2023,29.4,76.2,13.8,Sunny
13/09/2023,26.1,81.7,10.7,Sunny
11/01/2024,26.8,64.2,25.1,Cloudy
01/03/2024,42.7,34.5,23.4,Rainy
07/01/2024,26.0,39.0,19.0,Cloudy
20/01/2024,34.6,77.8,17.5,Cloudy
16/07/2023,41.1,57.0,23.2,Sunny
22/02/2024,35.2,75.3,0.6,Cloudy
13/02/2024,41.3,80.9,6.1,Rainy
07/04/2024,31.3,68.8,29.8,Rainy
24/12/2023,33.4,71.7,17.8,Sunny
25/10/2023,27.3,39.3,12.1,Rainy
31/07/2023,33.0,68.9,25.8,Cloudy
01/10/2023,43.5,34.6,29.2,Sunny
23/09/2023,42.0,23.8,27.4,Rainy
06/05/2024,27.1,47.4,18.2,Rainy
22/04/2024,33.1,65.7,12.9,Cloudy
31/07/2023,43.6,68.5,29.0,Cloudy
22/07/2023,42.5,44.4,23.6,Rainy
13/06/2023,33.4,29.0,3.6,Sunny
21/03/2024,36.1,38.5,1.2,Sunny
25/06/2023,41.3,64.6,4.7,Rainy
04/10/2023,37.1,61.6,20.0,Rainy
14/01/2024,27.5,22.4,17.0,Cloudy
12/11/2023,26.5,63.4,18.3,Sunny
25/06/2023,36.0,56.0,12.3,Sunny
26/04/2024,30.1,27.3,12.4,Rainy
23/11/2023,26.3,29.1,27.7,Cloudy
22/10/2023,44.4,84.5,28.8,Rainy
21/06/2023,37.9,84.9,15.9,Rainy
24/09/2023,30.1,44.0,4.7,Sunny
26/04/2024,31.9,72.7,23.6,Rainy
04/10/2023,25.5,28.9,1.7,Sunny
04/08/2023,36.4,70.3,4.9,Cloudy
11/12/2023,33.5,53.7,22.8,Sunny
18/11/2023,30.5,25.5,13.1,Rainy
15/05/2024,44.0,50.6,19.1,Sunny
21/09/2023,36.8,45.3,2.4,Rainy
03/12/2023,42.9,47.8,26.2,Cloudy
30/07/2023,29.8,57.0,10.2,Cloudy
16/04/2024,44.2,20.8,0.6,Sunny
12/07/2023,36.3,34.5,25.9,Sunny
25/03/2024,38.6,45.2,17.8,Sunny
05/03/2024,27.0,55.1,16.1,Rainy
18/09/2023,29.4,58.5,15.7,Sunny
07/08/2023,33.9,29.6,22.7,Sunny
17/05/2024,40.0,39.6,12.9,Sunny
03/03/2024,28.8,42.8,8.8,Rainy
15/07/2023,31.6,49.1,7.5,Rainy
10/08/2023,27.0,87.6,25.9,Rainy
01/05/2024,42.6,41.2,17.6,Sunny
25/09/2023,33.3,22.7,5.1,Sunny
27/12/2023,25.7,88.8,2.5,Sunny
14/07/2023,25.5,32.5,6.7,Rainy
07/12/2023,27.6,25.6,9.8,Sunny
05/12/2023,43.3,40.8,9.8,Sunny
01/03/2024,25.7,72.3,1.3,Cloudy
05/05/2024,29.0,20.5,18.4,Sunny
09/01/2024,40.2,66.2,10.0,Rainy
05/08/2023,33.9,79.7,4.4,Sunny
05/06/2024,29.8,73.2,3.8,Sunny
06/08/2023,31.9,59.7,19.6,Sunny
21/03/2024,33.2,29.3,24.7,Rainy
12/04/2024,34.0,73.4,9.3,Rainy
21/08/2023,29.8,20.6,24.0,Sunny
11/03/2024,41.0,74.5,10.6,Cloudy
29/05/2024,41.0,77.1,5.9,Rainy
24/10/2023,40.0,38.1,12.4,Sunny
20/01/2024,32.1,73.3,15.0,Rainy
06/11/2023,33.8,70.3,21.5,Rainy
09/11/2023,44.8,43.9,15.5,Rainy
28/04/2024,31.4,76.9,10.8,Sunny
04/09/2023,30.7,89.5,17.8,Rainy
21/11/2023,41.5,27.3,18.8,Sunny
21/01/2024,34.3,86.3,0.3,Sunny
30/12/2023,38.8,20.9,4.1,Sunny
04/04/2024,32.4,61.0,1.0,Sunny
13/08/2023,34.6,56.4,26.8,Rainy
21/11/2023,42.5,43.4,21.5,Sunny
14/01/2024,42.0,87.2,22.5,Rainy
10/12/2023,35.8,56.9,15.6,Cloudy
29/05/2024,25.6,51.4,13.0,Sunny
17/11/2023,44.8,42.1,29.8,Sunny
26/05/2024,44.4,80.5,19.0,Rainy
07/08/2023,37.2,41.3,22.5,Sunny
23/05/2024,26.5,32.8,19.5,Rainy
25/09/2023,43.2,70.7,29.5,Cloudy
15/07/2023,44.9,75.3,0.0,Cloudy
21/09/2023,33.2,70.6,0.1,Rainy
20/04/2024,25.7,38.2,4.1,Sunny
28/03/2024,40.9,60.1,16.2,Rainy
15/09/2023,40.2,37.6,4.8,Sunny
13/01/2024,42.1,87.2,26.9,Rainy
05/09/2023,32.6,60.2,3.7,Rainy
04/10/2023,38.7,40.0,16.9,Rainy
09/07/2023,35.4,34.4,3.8,Sunny
17/07/2023,29.3,55.8,12.4,Cloudy
01/03/2024,44.9,21.6,9.9,Cloudy
31/03/2024,35.3,34.5,23.9,Rainy
27/03/2024,34.4,32.0,9.5,Sunny
17/06/2023,27.7,36.0,9.0,Sunny
02/02/2024,30.6,44.9,12.4,Sunny
21/10/2023,42.4,24.7,15.5,Sunny
27/05/2024,29.0,50.8,15.9,Sunny
13/08/2023,39.1,72.8,13.7,Cloudy
27/10/2023,28.4,28.8,20.0,Rainy
03/05/2024,25.8,43.2,14.1,Cloudy
09/06/2024,38.3,36.8,15.1,Sunny
05/05/2024,35.5,70.0,6.0,Rainy
02/02/2024,40.0,87.7,16.0,Rainy
22/04/2024,28.3,66.8,11.5,Rainy
22/05/2024,36.2,26.1,22.7,Cloudy
23/09/2023,40.6,56.9,8.2,Cloudy
22/11/2023,37.8,85.1,8.5,Rainy
18/07/2023,32.7,38.4,21.4,Sunny
09/03/2024,33.0,26.3,21.0,Sunny
02/12/2023,37.3,73.9,9.4,Sunny
14/08/2023,30.9,43.3,4.0,Rainy
16/12/2023,36.8,86.1,0.2,Cloudy
19/04/2024,25.8,37.9,8.3,Sunny
17/09/2023,30.0,67.7,3.9,Rainy
22/03/2024,33.8,21.6,16.2,Cloudy
28/01/2024,29.1,47.3,14.5,Sunny
26/01/2024,41.6,83.0,2.9,Rainy
24/09/2023,27.7,29.6,3.0,Sunny
22/05/2024,32.1,80.5,26.9,Rainy
05/02/2024,26.8,67.9,17.1,Rainy
01/06/2024,40.7,69.5,25.5,Rainy
07/08/2023,25.4,77.3,11.5,Cloudy
01/05/2024,42.8,33.1,3.8,Sunny
15/08/2023,27.6,68.8,8.2,Rainy
03/10/2023,35.5,62.3,26.4,Rainy
28/04/2024,28.2,42.9,26.5,Rainy
25/09/2023,35.7,78.7,29.9,Sunny
29/03/2024,44.9,20.3,26.1,Sunny
13/04/2024,38.3,81.6,29.6,Rainy
18/11/2023,35.2,51.3,26.9,Sunny
30/07/2023,40.5,49.1,7.8,Rainy
06/06/2024,41.7,24.7,6.8,Sunny
31/01/2024,29.4,67.4,28.8,Cloudy
31/05/2024,44.4,80.5,11.2,Rainy
19/10/2023,26.7,54.4,11.1,Rainy
08/06/2024,25.2,88.9,2.5,Rainy
05/06/2024,45.0,36.9,19.8,Sunny
27/08/2023,37.2,71.4,29.9,Rainy
17/07/2023,44.1,42.9,2.0,Rainy
30/03/2024,38.4,82.0,9.1,Cloudy
10/04/2024,25.8,79.0,6.0,Rainy
07/02/2024,40.6,59.6,17.7,Sunny
03/07/2023,34.2,86.4,1.6,Rainy
16/12/2023,43.5,89.1,2.6,Cloudy
21/05/2024,27.6,50.5,9.0,Sunny
02/06/2024,42.2,54.8,19.2,Sunny
21/09/2023,28.6,66.9,18.4,Sunny
26/10/2023,29.9,37.3,5.8,Rainy
08/07/2023,26.0,61.7,29.9,Sunny
26/06/2023,40.4,47.2,25.6,Sunny
19/02/2024,28.7,40.6,24.5,Rainy
19/07/2023,41.8,40.4,20.0,Cloudy
26/08/2023,38.3,21.1,14.9,Sunny
14/03/2024,27.4,59.0,24.8,Cloudy
05/02/2024,31.6,73.8,22.8,Rainy
01/06/2024,34.1,56.8,28.6,Cloudy
11/05/2024,28.2,30.1,16.1,Sunny
21/04/2024,40.8,68.0,2.2,Rainy
21/12/2023,43.6,40.8,16.9,Rainy
16/05/2024,36.3,38.3,26.7,Sunny
19/11/2023,38.4,62.7,13.1,Cloudy
20/01/2024,39.8,25.0,9.2,Sunny
05/04/2024,32.8,76.1,1.1,Cloudy
06/12/2023,42.2,73.9,17.7,Sunny
02/11/2023,28.3,76.3,28.6,Sunny
17/09/2023,37.0,85.6,16.7,Rainy
17/08/2023,32.8,33.3,18.8,Sunny
10/03/2024,33.1,44.7,29.0,Rainy
11/11/2023,33.4,87.7,6.8,Sunny
01/02/2024,40.0,67.2,2.8,Rainy
18/04/2024,39.9,26.7,28.1,Sunny
31/03/2024,44.9,27.2,10.2,Sunny
13/02/2024,34.9,87.5,8.2,Rainy
16/09/2023,30.3,35.6,2.4,Cloudy
11/07/2023,44.9,26.8,23.2,Rainy
25/03/2024,39.7,71.2,14.6,Rainy
27/01/2024,32.5,74.7,17.5,Rainy
03/03/2024,42.5,51.5,3.6,Sunny
13/10/2023,26.3,63.8,11.6,Sunny
16/01/2024,27.4,51.8,4.4,Rainy
24/12/2023,41.2,73.8,1.0,Rainy
05/10/2023,40.4,59.1,19.1,Sunny
08/01/2024,27.8,42.9,1.4,Cloudy
12/04/2024,36.5,64.6,13.2,Cloudy
29/12/2023,38.1,34.3,11.9,Sunny
09/02/2024,27.9,51.0,13.7,Cloudy
16/01/2024,30.5,74.4,20.1,Sunny
13/02/2024,26.3,78.0,1.2,Rainy
01/04/2024,31.7,36.3,25.2,Sunny
20/05/2024,27.5,56.9,12.4,Rainy
04/10/2023,33.1,88.7,29.9,Rainy
08/10/2023,32.4,48.6,1.3,Rainy
22/10/2023,26.5,73.4,28.3,Sunny
16/12/2023,25.8,28.1,6.0,Rainy
18/12/2023,35.3,38.3,24.5,Rainy
06/10/2023,32.4,26.9,28.7,Cloudy
14/10/2023,29.0,53.0,15.2,Sunny
24/07/2023,31.2,87.0,25.2,Sunny
01/06/2024,43.1,73.0,14.4,Rainy
13/06/2023,39.4,43.1,2.8,Sunny
10/12/2023,28.2,68.7,17.6,Cloudy
08/08/2023,28.2,67.9,25.7,Rainy
21/12/2023,36.9,67.9,23.6,Cloudy
24/10/2023,35.7,78.2,4.6,Rainy
21/07/2023,27.3,77.1,11.4,Sunny
15/03/2024,39.4,83.1,0.1,Rainy
07/06/2024,33.2,32.9,22.4,Sunny
15/03/2024,31.9,27.0,18.6,Sunny
12/08/2023,26.1,61.7,4.1,Sunny
07/03/2024,42.4,32.8,28.1,Sunny
18/09/2023,44.2,41.8,28.9,Rainy
11/10/2023,33.5,22.1,8.7,Sunny
29/04/2024,37.6,22.1,10.1,Sunny
19/10/2023,41.7,29.7,11.0,Cloudy
05/01/2024,34.5,29.0,7.4,Sunny
14/09/2023,26.6,48.5,17.2,Rainy
14/12/2023,28.8,84.7,20.6,Rainy
28/12/2023,38.9,60.9,19.8,Rainy
09/10/2023,35.9,29.6,29.0,Rainy
27/11/2023,29.5,66.6,29.9,Cloudy
27/03/2024,26.7,66.7,11.4,Rainy
28/12/2023,39.3,41.6,6.9,Sunny
27/03/2024,38.7,26.3,4.7,Sunny
30/09/2023,44.5,64.7,24.3,Rainy
17/11/2023,40.8,55.3,1.7,Sunny
20/07/2023,25.3,81.4,7.0,Rainy
13/08/2023,33.7,53.7,27.7,Cloudy
28/07/2023,38.0,50.0,19.9,Sunny
02/02/2024,41.6,20.7,28.9,Sunny
22/09/2023,33.8,35.3,12.1,Sunny
01/05/2024,43.6,55.2,23.9,Sunny
28/07/2023,34.6,37.8,20.1,Rainy
11/10/2023,40.6,42.5,23.2,Cloudy
16/10/2023,38.7,21.6,11.3,Rainy
06/03/2024,29.0,48.0,8.7,Rainy
30/06/2023,36.0,57.2,7.3,Sunny
19/01/2024,38.4,26.1,26.9,Rainy
28/08/2023,41.4,46.2,13.9,Sunny
06/01/2024,34.4,26.9,10.2,Rainy
25/04/2024,35.7,64.4,3.5,Cloudy
24/03/2024,40.6,66.8,27.8,Rainy
30/01/2024,31.6,68.5,23.5,Cloudy
11/12/2023,40.2,82.2,20.1,Sunny
05/06/2024,30.2,75.6,17.9,Cloudy
28/07/2023,41.9,73.5,4.2,Rainy
10/04/2024,28.1,86.3,28.8,Cloudy
07/06/2024,31.1,86.7,8.0,Rainy
12/09/2023,31.3,79.2,22.9,Cloudy
01/03/2024,35.7,27.2,20.0,Sunny
13/11/2023,34.8,89.2,9.7,Rainy
05/06/2024,32.3,66.0,3.6,Sunny
23/12/2023,31.2,30.5,11.8,Sunny
28/07/2023,41.2,23.4,6.2,Sunny
19/09/2023,33.4,43.6,23.6,Rainy
03/07/2023,28.6,64.4,24.7,Cloudy
14/01/2024,25.6,54.7,0.6,Rainy
20/02/2024,43.5,37.3,21.9,Cloudy
27/02/2024,34.4,52.8,22.6,Sunny
05/07/2023,26.8,59.7,12.4,Rainy
10/07/2023,37.9,71.0,4.8,Sunny
29/10/2023,34.1,35.9,22.1,Sunny
08/07/2023,26.7,46.9,18.5,Cloudy
01/09/2023,25.8,21.2,12.1,Sunny
24/09/2023,34.1,49.0,17.0,Sunny
20/10/2023,31.3,26.1,0.5,Rainy
02/05/2024,29.4,44.0,21.3,Sunny
06/12/2023,39.9,46.1,11.5,Sunny
21/08/2023,38.4,80.5,18.3,Rainy
21/05/2024,31.9,52.3,7.7,Sunny
09/01/2024,43.7,56.2,6.2,Cloudy
13/06/2023,38.3,69.4,17.4,Rainy
30/04/2024,31.1,81.8,23.2,Sunny
27/02/2024,35.6,28.2,29.1,Rainy
06/10/2023,34.5,50.5,3.7,Sunny
12/01/2024,44.3,74.8,4.4,Rainy
09/05/2024,26.1,21.5,8.5,Sunny
20/04/2024,44.9,53.3,14.5,Rainy
12/06/2023,36.1,70.8,23.2,Rainy
04/09/2023,30.9,66.9,16.9,Rainy
06/12/2023,38.2,40.7,9.1,Sunny
08/01/2024,25.1,47.9,19.0,Sunny
18/07/2023,29.0,76.4,16.2,Rainy
21/10/2023,33.0,42.1,14.7,Sunny
11/01/2024,39.7,53.4,14.5,Cloudy
